Product_Display_Name,GUID,Service_Plan_Id,Service_Plans_Included_Friendly_Names
AI Builder Capacity add-on,d2dea78b-507c-4e56-b400-39447f4738f8,a7c70a41-5e02-4271-93e6-d9b4184d83f5,AI Builder capacity add-on
AI Builder Capacity add-on,d2dea78b-507c-4e56-b400-39447f4738f8,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
App Connect IW,8f0c5670-4e56-4892-b06d-91c085d7004f,0bfc98ed-1dbc-4a97-b246-701754e48b17,APP CONNECT
App Connect IW,8f0c5670-4e56-4892-b06d-91c085d7004f,113feb6c-3fe4-4440-bddc-54d774bf0318,EXCHANGE FOUNDATION
App governance add-on to Microsoft Defender for Cloud Apps,9706eed9-966f-4f1b-94f6-bb2b4af99a5b,f6de4823-28fa-440b-b886-4783fa86ddba,Microsoft 365 Audit Platform
App governance add-on to Microsoft Defender for Cloud Apps,9706eed9-966f-4f1b-94f6-bb2b4af99a5b,5f3b1ded-75c0-4b31-8e6e-9b077eaadfd5,Microsoft Application Protection and Governance (A)
App governance add-on to Microsoft Defender for Cloud Apps,9706eed9-966f-4f1b-94f6-bb2b4af99a5b,2e6ffd72-52d1-4541-8f6c-938f9a8d4cdc,Microsoft Application Protection and Governance (D)
Career Coach for faculty,95de1760-7682-406d-98c9-52ef14e51e2b,80f0ae31-0dfb-425c-b3fc-36f40170eb35,Career Coach
Career Coach for students,01c8007a-57d2-41e0-a3c3-0b46ead16cc4,80f0ae31-0dfb-425c-b3fc-36f40170eb35,Career Coach
Clipchamp Premium,0fe440c5-f2bf-442b-a4f4-9a7af77a200b,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Clipchamp Premium,0fe440c5-f2bf-442b-a4f4-9a7af77a200b,a1ace008-72f3-4ea0-8dac-33b3a23a2472,Microsoft Clipchamp
Clipchamp Premium,0fe440c5-f2bf-442b-a4f4-9a7af77a200b,430b908f-78e1-4812-b045-cf83320e7d5d,Microsoft Clipchamp Premium
Clipchamp Premium,0fe440c5-f2bf-442b-a4f4-9a7af77a200b,f7e5b77d-f293-410a-bae8-f941f19fe680,OneDrive for Business (Clipchamp)
Clipchamp Standard,481f3bc2-5756-4b28-9375-5c8c86b99e6b,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Clipchamp Standard,481f3bc2-5756-4b28-9375-5c8c86b99e6b,a1ace008-72f3-4ea0-8dac-33b3a23a2472,Microsoft Clipchamp
Clipchamp Standard,481f3bc2-5756-4b28-9375-5c8c86b99e6b,f7e5b77d-f293-410a-bae8-f941f19fe680,OneDrive for Business (Clipchamp)
Microsoft 365 Audio Conferencing,0c266dff-15dd-4b49-8397-2bb16070ed52,3e26ee1f-8a5f-4d52-aee2-b81ce45c8f40,Microsoft 365 Audio Conferencing
Microsoft Entra ID Basic,2b9c8e7c-319c-43a2-a2a0-48c5c6161de7,c4da7f8a-5ee2-4c99-a7e1-87d2df57f6fe,Microsoft Entra BASIC
Microsoft Entra ID P1,078d2b04-f1bd-4111-bbd4-b4b1b354cef4,41781fb2-bc02-4b7c-bd55-b576c07bb09d,Microsoft Entra ID P1
Microsoft Entra ID P1,078d2b04-f1bd-4111-bbd4-b4b1b354cef4,932ad362-64a8-4783-9106-97849a1a30b9,CLOUD APP SECURITY DISCOVERY
Microsoft Entra ID P1,078d2b04-f1bd-4111-bbd4-b4b1b354cef4,113feb6c-3fe4-4440-bddc-54d774bf0318,EXCHANGE FOUNDATION
Microsoft Entra ID P1,078d2b04-f1bd-4111-bbd4-b4b1b354cef4,8a256a2b-b617-496d-b51b-e76466e88db0,MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION
Microsoft Entra ID P1 for Faculty,30fc3c36-5a95-4956-ba57-c09c2a600bb9,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Microsoft Entra ID P1 for Faculty,30fc3c36-5a95-4956-ba57-c09c2a600bb9,41781fb2-bc02-4b7c-bd55-b576c07bb09d,Microsoft Entra ID P1
Microsoft Entra ID P1 for Faculty,30fc3c36-5a95-4956-ba57-c09c2a600bb9,8a256a2b-b617-496d-b51b-e76466e88db0,Microsoft Azure Multi-Factor Authentication
Microsoft Entra ID P1 for Faculty,30fc3c36-5a95-4956-ba57-c09c2a600bb9,932ad362-64a8-4783-9106-97849a1a30b9,Microsoft Defender for Cloud Apps Discovery
